Åìî‘çÜ,ÅFéÊìæì˙ïtÅiêÌó™ï™êÕópÅj,ÅñéÊìæì˙ïtÅiÉOÉâÉtópÅj,Åìè§ïiñº,ÅñAmazonéÊÇËàµÇ¢äJénì˙,Åìèoïié“,Åìè§ïiè⁄ç◊URL,Åìèdï°,ÅìçÄî‘,ÅìêØ,É^ÉCÉgÉã,Åììäçeé“,ÅñÉåÉrÉÖÅ[ì˙ït,ÉåÉrÉÖÅ[ì‡óe
1092,2017/04/05 21:56:47,2017/4/5,"Tamiya Sherman ""Easy Eight"" Model Kit",,"Tamiya",https://www.amazon.com/Tamiya-Sherman-Easy-Eight-Model/dp/B0168AS1XS/ref=sr_1_50?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-50&keywords=model,0,20,3,"Three Stars","Amazon Customer",2017/01/21,"4 star worth the money to me"
1093,2017/04/05 21:57:00,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,1,5,"really good","Brandon Ogden",2015/06/05,"This is number nine of my collection. This is a very detailed model and parts fit together real well I had no issues at all with this kit just very detailed. I would recommend this kit to the experienced builder."
1094,2017/04/05 21:57:01,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,2,5,"B-17G - Flying Fortress Classic","M. E. Hanney",2008/01/10,"This B-17G model kit is a Monogram, now Revell-Monogram, classic. It is a huge model that is fun to build. The kit has been around for a long time and is the only 1/48 scale kit available of this magnificent World War II bomber. The interior, engines, guns, and landing gear have plenty of detail for the novice and expert modeler alike. The kit also includes a bomb cart, 4 bombs and a few aircrew figures for display purposes. The instructions are straight forward, the decals are the normal Monogram-Revell quality, a little thick but fairly decent. The decals allow for two different paint schemes, either olive drab over neutral grey or an all natural aluminum finish. A nice brochure with photos and tips on how to build a diorama is also included if one desires to make a diorama to display the finished model. Plenty of aftermarket decals and other accessories for the B-17 are avialable through online hobby retailers like Squadron.com, MeteorProductions.com and SprueBros.com, to name a few. I built my model just using a set of aftermarket decals, with some hand crafted details and an airbrushed finished paint job. The completed model more than met my expectations. Most of the pieces fit together very nicely. I had to apply some putty along the bottom edge of the wing to fuselage joints and to one edge of both waist gunner windows. Other than that everything came together quite well. I am more than likely going to purchase another one soon and hang the next one from my ceiling."
1095,2017/04/05 21:57:01,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,3,3,"In order for this B-17 model to come out good, it will take lots of patience and some ...","paulywog",2016/10/24,"In order for this B-17 model to come out good, it will take lots of patience and some advanced skills in scale model building.
There are fitting issues with just about every part, and as someone pointed out, some of the parts are not really in proportion to the 1/48 scale of this airplane...also the instructions are overly basic.
The bomb bay doors are molded shut and if you want them open to display the bombs on the bomb racks, you will have to cut them open which is not a job for a beginner but and advanced modeler.
All that being said, a beginner can put this model together and it will look OK. Keep in mind that when it is finished, it is rather large!"
1096,2017/04/05 21:57:01,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,4,4,"A Nice Large Revell B17G Model. I Recommend You Give It A Try!","In Virginia",2014/09/05,"a nice Revell model. it did have quite a bit of trimming to be done. there are a lot of pieces and a lot of detail to it. but being that i an hanging it from the ceiling doing a hanging diorama i do not need all the interior detail. i am building three of these to represent a small partial formation. so the next two i assemble i will omit a lot of the interior detail. i really like the assembly procedure for attaching the wings. no need to glue with the siding and locking construction. this is a great addition if you decide to store the model, you can take the wings off! my only complaint was trying to get the wrap around main windshield installed. it did not fit correctly so i had to cut it in half and install the two pieces separately. not a big issue really, more of a small bump in the road. and take your time while installing all the glass windows. mine were tight in places and loose in others."
1097,2017/04/05 21:57:01,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,5,5,"Father-son time","Shar",2016/05/13,"My son recently began working on models. What a great hobby for kids and adults alike! This particular model, he bought for his dad for Father's Day. He remembered my husband mentioning that he always wanted to put together a B17 when he was a boy. So now it is a father-son project. Warms my mama heart!"
1098,2017/04/05 21:57:01,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,6,5,"Five Stars","Amazon Customer",2016/09/28,"This B -17 was easy to build and it looks great when painted and put together"
1099,2017/04/05 21:57:01,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,7,5,"Nice big plane!","Donald Winder",2015/08/12,"Just finished building my kit, it looks really great!! for the most part the kit was well thought out except for a problem with the wing tabs where they mount into the fuselage. The tabs on the tabs would not line up and had to ground off in order to be fitted. This is a big detailed model, it come with a detailed interior with bombs. Also has a ground crew ,one of which fits in the pilots seat and can be seen through the windshield. I painted mine olive drab with some flat black and it looks so real. This is an easy kit to build it only has 150 parts or so, which is good for me as I have an issue with my left hand and have trouble working with tiny parts.
Overall I am thrilled with this model!"
1100,2017/04/05 21:57:02,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,8,5,"Great Gift","Amber C",2016/06/06,"I got this as a gift for my 11 year old son. Unfortunately, I know nothing about models and the different levels. I learned very quickly once we received this that it was going to be far more work than he originally thought. We backtracked and ordered a couple level 1 models to practice then started on this level 2. He really enjoyed building and painting it. I was surprised that the waiting for different parts to dry once glued together, etc. didn't bother him. He absolutely loves the finished product and is excited to buy more.I would highly recommend."
1101,2017/04/05 21:57:02,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,9,5,"and paints nicely! For the price","Gabby",2017/03/18,"Very detailed, fits together well, and paints nicely! For the price, you can't beat it!"
1102,2017/04/05 21:57:02,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,10,5,"Five Stars","Jack",2017/03/18,"Great model"
1103,2017/04/05 21:57:06,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,11,4,"Good model to build","Amazon Customer",2012/11/10,"This is a very large model which can make it a little hard to handle at times.
BUT, once you are done, it is an accomplishment to be proud of."
1104,2017/04/05 21:57:06,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,12,4,"Beautiful","snownut",2013/01/19,"This isn't a ""shake the box"" model. It takes patience and skill and a large budget for paint to make this happen. I purchased and built this as a gift to a neighbor that served in England during WWII loading bombs into these things. I decorated this one to match his unit's colors, and built it to museum quality. He was blown away!"
1105,2017/04/05 21:57:06,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,13,5,"B-17g","Lee Mateer",2014/02/20,"This is a great model. Am working on it with the a 15 year old neighbor girl(this is her Bomber).who is highly detailed, after building 3 of them this is the 1st time I noticed the clipboard on the wall. this will turn out great."
1106,2017/04/05 21:57:06,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,14,5,"Exactly as advertised. Model, one each, color as appears on box, plastic, scale 1-4/8","Thomas A. Person",2014/04/25,"Very nice model. It does allow a novice to do alright and allows the pros (you know us in our 60's use to do when this was about $3.95). with painting and dry times took about a week. For those who bought it as a ""flying machine"" read my opening statement.
I also bought a same scale ME109 and P47. The comparison of these machines are startling. Ever meet a B17 crewman? Shake his hand and thank him. Testicles the size of Alpha Centaury"
1107,2017/04/05 21:57:06,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,15,5,"A huge addition to my grandson's squadron.","Russ",2016/05/08,"Excellent Revell quality! Very accurate components packaged in an excellent order of assembly. This is a fairly complex model, lots of care and time needed to assemble it. The results are worth it! The 1:48 scale matches my grandson's other model airplanes, P40s and P46 escorts fly (in our imagination) right along with the B17 in perfect formation. I highly recommend this model."
1108,2017/04/05 21:57:06,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,16,5,"Great airplane !","smile",2011/08/25,"This is great airplane - a lot of small details inside and outside. My 11 years old son liked it very much ! I will definitely recommend to buy it. Delivery was fast. Very satisfied !"
1109,2017/04/05 21:57:07,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,17,4,"Good product from Revell","JR Halcon",2012/02/01,"I already had one of this, but was lost many years ago. The plastic parts seems to be translucent and the detail is very good, inside the box you can find a full color sheet with tips about building dioramas and nice pictures. I made the purchase for storage and future building, but can say it's a good product!"
1110,2017/04/05 21:57:07,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,18,4,"Great fun","Juan Rivas",2010/02/21,"Excellent quality of molded parsts which is typical of Monogram and Revell models. It is painted and just abouat ready for final assemble in the next few days. Plan on doing the B29 next.....: )"
1111,2017/04/05 21:57:07,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,19,5,"At this date, I have yet to paint and ...","Patrick Foley",2014/07/24,"At this date, I have yet to paint and assemble this model, however, it appears to have lots of intricate detail, and
well represents this famous bomber. UPDATE: I have since completed assembly of this model, and it sits proudly
on display on a shelf on my desk. This model has a great deal of detail, and provided plenty of joy and challenge
during assembly. I may build a second plane! I would strongly encourage any one considering this model to give
it a try."
1112,2017/04/05 21:57:07,2017/4/5,"Revell B17G Flying Fortress  1:48 Scale",,"Revell",https://www.amazon.com/Revell-B17G-Flying-Fortress-Scale/dp/B0006JNS5E/ref=sr_1_51?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-51&keywords=model,0,20,5,"Built this one too...","Steve",2012/02/11,"This model is awesome. Google up some images of dioramas others have produced and you'll get the idea of it's potential. Worth every penny and hour spent working on it. Check out the following for and example: [...]"
1113,2017/04/05 21:57:17,2017/4/5,"Hot Wheels, 2017 Factory Fresh, Tesla Model X [White] 97/365",,"MATTEL",https://www.amazon.com/Wheels-Factory-Fresh-Tesla-Model/dp/B01MSA16LV/ref=sr_1_52?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-52&keywords=model,0,,,"","",,""
1114,2017/04/05 21:57:25,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,1,5,"Very Good model for an Advanced Modeller","Trubble",2011/12/14,"I purchased this because I'm a retired A&P Aviation Machinist. I love aircraft. I also live in NC. One of the reviewers talked about how bad the model was, the directions, etc. This is a great little model. The instructions are a full eight pages, plus four pages of how to make it more realistic. I agree it is not for a young model builder. But how many 8 yrs old are going to build a Wright Flyer from 1903 without guidance from an adult. The instructions also state this is a re-release of a 40 yr old model.
One of his big complaints was the flashing and sprues. FOR the record and this will help model makers just starting out understand the sprue and tabs.
When you look at any model you'll see the little round pieces of plastic attached to the parts, you will need to trim these carefully. Look at their location. They have an EXTREMELY important task in life. They are contact points for the the ejector pins within the injection machine mold. The ejector pins push against them pushing the ""tree"" out of the molding cavity. You cannot push against the actual part because the part is (1) still hot and you would scar or mark it with the stainless steel pins, (2) the ejector pin bosses on the sprues are located at stress and weak points that could break. The more intricate and thin the part the more ejector bosses.
Don't be miss-led by a non verified reviewer. I've put models together for over 50 years and this one blew me away when I first opened the box. One of the best detailed and instructed I've bought ever. It will take me a while to put together, because I want it right. but for $9.99. OUTSTANDING purchase."
1115,2017/04/05 21:57:26,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,2,4,"Good model","ShenQingYuan",2015/06/02,"Model or look very good, but not very fine, some details do not very good, there is the need to glue things too much, ha ha, finally winding is also quite complex, I just simple around.I made it an afternoon with my brother.A very good experience"
1116,2017/04/05 21:57:26,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,3,1,"I would not recommend unless you have a lot of time on hand","CKG",2016/03/10,"It's really difficult to make out the parts and separate them from the single plastic tree. I would not recommend unless you have a lot of time on hand"
1117,2017/04/05 21:57:26,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,4,5,"Excellent Model Airplane","Robert Jordan",2012/02/29,"This kit is well instructed and relatively easy to build right out of the box. Glue required, and Mom's permission ha ha to use the kitchen table !"
1118,2017/04/05 21:57:26,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,5,4,"Our First Model","Me",2009/07/05,"This was a model airplane so I don't expect any model to be very durable. This was a good first model kit that my son and I did together for his Social Studies project. Not too much detail and not too many small parts. I recommend this as a starter for any kid with parent supervision."
1119,2017/04/05 21:57:26,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,6,5,"It is what it says it is, and surprisingly more","LA Architect",2012/01/11,"I ordered this model for my 6th grade daughter who was doing a report on the Wright Brothers. I was able to do a ""quick assemble"" in about 40 minutes. However, I was really impressed with the detail in the model. For the price, it has way more than expected as far as actual ""Wright Bros. detailing"". If you would build this to it's full potential, I would take your time, as the detailing (especially the cables made of thread) is wonderful, and plan to place it in a diorama, as the model includes the two brothers, cameras, tools, etc. that are not glued to the airplane itself. The only drawback I can think of is that is is fairly small, so it's a one person working at a time model."
1120,2017/04/05 21:57:26,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,7,3,"Do not buy for your child's Wright Brothers school project","Bruce@AWS",2013/03/11,"If you are into building models, are over 14 (the 10+ age recommendation is not remotely accurate), and are really patient, this is a great little inexpensive model.

If you are a parent that bought this because you thought it would be a cool prop for your child's Wright Brothers project at school, buy a pre-assembed model or print something from the interwebs.

Frankly, I work full time and I am busy. I have too many things I want to do on the weekend--building models is not one of them. This isn't snap-tite or a simple toy car; it takes a solid 8+ hours even if you don't paint it and cut or sand off all the little tooling marks. Then, there is the thread--the thread is a giant pain. You have to pull tiny thread through all the little holes to simulate the rigging. But, the holes aren't big enough. So, you have to bore out all the holes with a straight pin. Then, the thread won't go though unless you burn the end of the thread. Then, the thread will be too big to go through the hole. Repeat this process dozens of times and you begin to get the idea.

I don't know what the parts that connect the upper and lower wings together are called (beams, spars?). You are supposed rig these together with thread, but it doesn't really attach cleanly. Perhaps, you are supposed to clean these parts out with a hobby knife? I didn't really know or care. But, because I didn't care or ever figure it out, I had to manually glue the thread at each point and I could never make it look taut.

Again, if you like models, this is cheap and challenging. If you are doing this for a project, buy something pre-assembled and spend the time saved doing something you enjoy."
1121,2017/04/05 21:57:27,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,8,5,"Great School Project","Mark Klingsberg",2013/04/25,"Had a wonderful time with my eight year old son building this replica. It had enough parts that were easy enough for him to assemble and had some challenging sections to test my building skills. I can say with great confidence it is an excellent representation as we took a trip to the Smithsonian half way through our build and saw the real Wright Flyer, a very cool experience for both of us."
1122,2017/04/05 21:57:27,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,9,5,"Great Model!!!","Leah Brewster",2017/01/23,"I purchased this to use as a prop for my little boys' presentation on the Wright Brothers. This was about a year ago and they have played with it ever since and it has never broke! AMAZING! I'm serious y'all. This is an extremely durable model. And loads of fun to put together with your kiddos!"
1123,2017/04/05 21:57:27,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,10,4,"Not too bad to put together","Amazon Customer",2017/02/25,"Not too bad to put together, you just have to be careful with the narrow pieces of plastic as they break easily. For the most part the directions/diagrams were pretty good. Clearer directions for the rigging would have helped immensely. That drive me crazy, but I did it. I also did not use the thread that came with it, but fishing line which had it's own difficulties. I like the way it turned out, as did the people in my Wright Bros. book review."
1124,2017/04/05 21:57:31,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,11,4,"I like it. Good model for the money.","Jay",2016/02/03,"Well it's been 40 plus years since I made a plastic model....I'm 56 now. Not sure this was the one to start with but wanted to start with the old planes. I love wood, but this will work if you take your time with painting to look like wood and canvas. I do two or three steps a day to include the painting first, wait a day and glue. It has been 4 weeks and I'm about ready to start with rigging with the provided thread. I thought about using real metal thread but hey, I'm just getting back into this. Take your time with this and you will enjoy it. Not for a kid under 11 unless they are gifted and want to me a surgeon some day. Not for the shaky or nervous. Very small parts are tough to deal with and rigging looks pretty intricate."
1125,2017/04/05 21:57:31,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,12,5,"... the Ann Arbor Airport and she has fallen in love with them","Craig Matteson",2016/05/02,"My granddaughter and I have been watching planes at the Ann Arbor Airport and she has fallen in love with them. I bought her a book on the history of flight with lots of photos and I bought this model so she and her father could put together the very first airplane; the Wright Flyer. They did a beautiful job together. You will need a series of paints to accomplish the best results. And the rigging for the wings takes some time and work.

But it is a beautiful model to have in child's room; especially if they love flying as my granddaughter does!"
1126,2017/04/05 21:57:31,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,13,3,"My first model airplane","Carroll Bogert",2013/08/16,"This was the first model airplane that I ever built. It says on the package ""moderate"" difficulty level and was intended for a child aged 12 years and up. I'm 17 so I thought it would be a piece of cake. Not so. When I opened the kit I was daunted by the hundred or so teeny-tiny pieces, some of which I almost lost because they were less than half the size of my pinkie nail. The instructions themselves give hardly any clues as to what materials you need to buy. However, the ""Tips for Building a Diorama"" can be helpful about what kind of plastic cement and paints you will need. The total cost of materials (including a hobby knife) was around eighteen dollars--pretty cheap I would say. However, I was not ready for what was in store. The plastic pieces are quite flimsy, and on my last day working on it I broke an important part of the plane. I was nevertheless able to painstakingly cement it back together (sort of), but the model needs more attention than a 12 years old could lend. When I got to the rigging step of the process, things got even more challenging. You need tweezers (and the sharp eyes of an eagle) to be able to gently coax a gray piece of thread through a hole smaller than the eye of a needle! I spent at least five hours on the rigging alone, sometimes getting so frustrated and red in the face that I had to stop or I thought I would throw the model on the floor in exasperation. The lengths of thread that the instructions say you need are wildly incorrect; when they say you need 16"", 10"" or so would suffice. While this may be a good thing (as it allows you to easily tie knots), it initially made me nervous, thinking that I was assembling it incorrectly. All told, I spent about 9 days building it, working on it at least three hours a day. A more experienced model-builder could probably have done it in an afternoon, but as a novice I put in way more time than I had expected. Nevertheless, building the ""Wright Flyer"" really made me love assembling model airplanes. Despite all the blood, sweat, and tears--or perhaps because of it--it is a truly satisfying feeling of accomplishment when you step back and look upon the plane that you built with your own two hands."
1127,2017/04/05 21:57:31,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,14,2,"I received my order quickly and it was sealed, ...","Judith Karns",2015/11/19,"I received my order quickly and it was sealed,upon opening I sorted the bags and instructions in the box.I removed the parts trees from the sealed bags and prepared to do the first step.I found all the pieces but 1,now everything was sealed and still a piece I gone. I emailed revell to acquire the missing part.I have received no response. PS I hope others do not hav the same experience,perhaps I expected too much."
1128,2017/04/05 21:57:32,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,15,3,"After reading reviews seemed like it would be easy putting it together","Amazon Customer",2016/04/28,"We needed something fast for my son project. After reading reviews seemed like it would be easy putting it together. After 8 hours and added toothpicks typed and hanging on to glue he got an 80. Maybe if we weren't in a rush some of the parts wouldn't have broken."
1129,2017/04/05 21:57:32,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,16,4,"Excellant, but not for a beginner.","coushatte",2015/08/23,"This was the first plastic model I had done in years so everything from parts to instructions was brand new. It took me awhile to understand the instructions , but they were clear enough. The pictures of the parts were not always clear as to what was part and what was surplus plastic that should be trimmed, particularly since many of the parts were very thin and small. Otherwise, even for me, the result was presentable."
1130,2017/04/05 21:57:32,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,17,5,"Great Replica","Texas Tech Home Economist",2012/09/21,"The kit has great directions, and suggestions for a quality finish. I bought two kits for my grandsons, since our family has ties to the Wright Flyer."
1131,2017/04/05 21:57:32,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,18,4,"I was looking for a balsa wood model of this ...","Ruthy",2015/08/14,"I was looking for a balsa wood model of this air plain, that I could convert to a electric flying model. I'll have to use the model to scale it up and build one from scratch... more likely to be 22 inch wing, when I'm done."
1132,2017/04/05 21:57:32,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,19,1,"Stay away, see fragile, medium quality, need 6-10 hours to build by a talented adult","harelfrish",2016/11/11,"Stay away, super fragile, medium quality, need 6-10 hours to build by a talented adult, no way a kid ten years old can build this unless he is freaking Tesla or Newton,

Ignore the time people showeoff in the review, this is 6-10 hours build by and
 18+ years old tha build a lot of modules before"
1133,2017/04/05 21:57:32,2017/4/5,"Revell 1:39 Wright Flyer ""First Powered Flight""",,"Revell",https://www.amazon.com/Revell-Wright-Flyer-Powered-Flight/dp/B0006JNS40/ref=sr_1_53?s=toys-and-games&ie=UTF8&qid=1491396968&sr=1-53&keywords=model,0,20,4,"The Wright bros Wright flyer","John Schilling",2013/05/17,"This item arrived on time and was well packaged, and it's original shrink wrap package was in tact.
This model of the Wright flyer was a fun challenge to assemble. instructions were for tyhe most part easy to follow.
it represented well when completed. thank you"
